Année;Championnat;Bassin;Code_Course;Type_Finale;Position;Temps;Club;Club_1;Club_2;Club_3;Club_4;Rameur_1;Rameur_2;Rameur_3;Rameur_4;Rameur_5;Rameur_6;Rameur_7;Rameur_8;Barreur
2023;SPRINTS 500m;Mantes-la-Jolie;SF2-;FC;4.0;02:03.93;Aviron Sainte-Livrade;AVIRON SAINTE LIVRADE;;;;Auriane DEILHES;Camille PARISE;;;;;;;
2021;PR;Mantes-la-Jolie;SM2x HV 50%H/50%F;FA;2.0;02:03.95;Rowing Club de Strasbourg;ROWING CLUB DE STRASBOURG;;;;Joelle MELDER;Benjamin STAMBACH;;;;;;;
2024;SPRINTS PR;Vichy;SH1x PR3 Open;FA;1.0;02:04.59;Aviron Cadurcien;AVIRON CADURCIEN;;;;Jerome PAILLER;;;;;;;;
2025;SPRINTS 500m;Libourne;SF2-;FB;5.0;02:04.65;Aviron Decinois;AVIRON DECINOIS;;;;Olivia POULET;Mathilde SZATANEK;;;;;;;
2014;SPRINTS CRITERIUM;Gérardmer;SF4+;FA;6.0;02:04.83;Sport Nautique Compiegnois;SPORT NAUTIQUE COMPIEGNOIS;;;;Agnes TERNOY;Carine POTHERAT-BOUVIER;Sylvie TROIVAUX;Magali GIAUME;;;;;Claude MAYMIL
2017;SPRINTS PR;Mantes-la-Jolie;SH2x Open;FA;1.0;02:04.92;Boulogne 92;BOULOGNE 92;;;;Stephane TARDIEU;Christophe LAVIGNE;;;;;;;
2019;SPRINTS PR;Gérardmer;SF1x PR3-ID;Finale;3.0;02:05.07;Club Nautique Dieppois;CLUB NAUTIQUE DIEPPOIS;;;;Sullyvan Denis-Gobron;;;;;;;;
2019;SPRINTS PR;Gérardmer;SH1x PR3-ID;FA;3.0;02:05.07;Club Nautique Dieppois;CLUB NAUTIQUE DIEPPOIS;;;;Sullyvan Denis-Gobron;;;;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SM2x 50%H/F;FC;6.0;02:05.11;Aviron Club de Lyon-Caluire;AVIRON CLUB DE LYON CALUIRE;;;;Paul Emile PIGNOT DUBOST;Marion PIGNOT;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FC;5.0;02:05.18;Cercle Nautique de Melun;CERCLE NAUTIQUE DE MELUN;;;;Suzy FAUVEL;Lea COPIN;;;;;;;
2018;SPRINTS CRITERIUM;Vichy;SF2x;FB;2.0;02:05.35;Angers Nautique Aviron;ANGERS NAUTIQUE AVIRON;;;;Jeanne SENTILHES;Brehatine DUFRESNE DE VIREL;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FD;4.0;02:05.35;Universite de Nantes Aviron;UNIVERSITE DE NANTES AVIRON;;;;Justine PROTT;Fanny GOLDSCHMIDT;;;;;;;
2019;SPRINTS CRITERIUM;Gérardmer;SF2x;FA;6.0;02:05.60;Aviron Roanne-le Coteau;AVIRON ROANNE LE COTEAU;;;;Marianne Rebaudo;Clemence Lafarge;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SM4x 50%H/F;FE;2.0;02:05.60;Club Nautique de Nice;CLUB NAUTIQUE DE NICE;;;;Marie-Luce MULTARI;Florian VIEJO;Chiara DONATO;Valentin CROMBEZ;;;;;
2014;SPRINTS PR;Gérardmer;MS2x open;FA;1.0;02:05.61;Boulogne Billancourt ACBB/Bayonne Av;BOULOGNE 92;AVIRON BAYONNAIS;;;Stephane TARDIEU;Perle BOUGE;;;;;;;
2014;SPRINTS PR;Gérardmer;MSLTA4+;Finale;1.0;02:05.61;Boulogne Billancourt ACBB/Bayonne Av;BOULOGNE 92;AVIRON BAYONNAIS;;;Stephane TARDIEU;Perle BOUGE;;;;;;;
2023;BRS;Thonon les Bains;SM4x+ 50%H/50%F;FA;1.0;02:05.758;La Seyne sur Mer Av/Saint Nazaire SNOS;AVIRON SEYNOIS;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;Francesca VILLALONGA;Charlelie RUBIO;Eva BARRELON KENDAL;Remi CHATAIGNIER;;;;;Luca DELVAL
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FB;6.0;02:05.79;Rowing Club de Port Marly;ROWING CLUB DE PORT MARLY;;;;Valerie LUBERT;Emilie SAXE;;;;;;;
2015;SPRINTS CRITERIUM;Mâcon;SF2x;FA;5.0;02:05.98;Aviron Club d'Angouleme;AVIRON CLUB D'ANGOULEME;;;;Anne Lise FONTAINE;Mathilde LANDAIS;;;;;;;
2015;SPRINTS CRITERIUM;Mâcon;SF2x;FA;6.0;02:06.19;Societe Nautique de Condrieu;SOCIETE NAUTIQUE DE CONDRIEU;;;;Charline RIVOIRE;Catherine CHOLVY;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SH2-;FC;2.0;02:06.30;Club Nautique de Nice;CLUB NAUTIQUE DE NICE;;;;Eros NOEL;Pierre-Nicolas BACQUET;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2-;FB;6.0;02:06.32;Club Nautique de Chateau-Gontier Aviron;CLUB NAUTIQUE DE CHATEAU GONTIER AVIRON;;;;Anaelle BLANCHARD;Charlotte BOULAY;;;;;;;
2018;SPRINTS 500m;Vichy;SF2-;FC;4.0;02:06.40;Aviron Club de Manosque;AVIRON CLUB DE MANOSQUE;;;;Eloise SERRES;Julie VENDEVILLE;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2-;FB;5.0;02:06.45;Sport Nautique Compiegnois;SPORT NAUTIQUE COMPIEGNOIS;;;;Elina MOULINIER;Maud HERR;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2-;FC;2.0;02:06.59;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Luna VANDANJON;Yaëlle LATEVI LAWSON-TANNIOU;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SH2x open;Finale;1.0;02:06.66;Societe Havraise de l'Aviron;SOCIETE HAVRAISE DE L'AVIRON;;;;Clara VALINDUCQ;Yann DUVAL;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SM2x HV 50%H/50%F PR3-VI;FA;1.0;02:06.66;Societe Havraise de l'Aviron;SOCIETE HAVRAISE DE L'AVIRON;;;;Clara VALINDUCQ;Yann DUVAL;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SM4+ PR3 1H/1F;Finale;1.0;02:06.66;Societe Havraise de l'Aviron;SOCIETE HAVRAISE DE L'AVIRON;;;;Clara VALINDUCQ;Yann DUVAL;;;;;;;
2021;PR;Mantes-la-Jolie;SM2x HV 50%H/50%F;FA;3.0;02:06.70;Association l'Avi Sourire;ASSOCIATION L'AVI SOURIRE;;;;Lilian PATINAUD;Emilie TABOURET;;;;;;;
2016;SPRINTS 500m;Gérardmer;SF4x;FC;6.0;02:06.88;Cercle de l'Aviron de Strasbourg;CERCLE DE L'AVIRON DE STRASBOURG;;;;Charline WIEGERT;Lucie HARTMANN;Anne-Laure BIEBER;Anne KERIHUEL;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2-;FC;3.0;02:07.25;Bressols Aviron Club;BRESSOLS AVIRON CLUB;;;;Justine LE LAMER;Maelle BEYAERT;;;;;;;
2023;BRS;Thonon les Bains;SM4x+ 50%H/50%F;FA;2.0;02:07.285;Carnon Camc/Sete Av/Toulouse A;CLUB D'AVIRON DE MAUGUIO CARNON;AVIRON SETOIS;AVIRON TOULOUSAIN;;Salome DEGEORGES;Caroline LAGARDE;Nathan PUECH;Evan CAILHAU;;;;;Enzo FRANCESCHINI
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FC;6.0;02:07.32;Aviron Tours Metropole;AVIRON TOURS METROPOLE;;;;Maiwenn DUMONT;Albanne GAUDIO;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2-;FC;4.0;02:07.39;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Melanie OCCELLI;Clara GUICHERD CALLIN;;;;;;;
2017;SPRINTS PR;Mantes-la-Jolie;SH1x LTA-ID;FA;2.0;02:07.49;Club Nautique et Athletique de Rouen;CLUB NAUTIQUE ET ATHLETIQUE DE ROUEN;;;;Timothee BAETS;;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2-;FB;6.0;02:07.50;Aviron Majolan;AVIRON MAJOLAN;;;;Anthea PASCALIS;Lawry COUSTILLAS;;;;;;;
2025;SPRINTS PR;Libourne;SH2x PR OPEN;Finale;2.0;02:07.61;Rowing Club de Strasbourg;ROWING CLUB DE STRASBOURG;;;;Sebastien SCHIR;Joelle MELDER;;;;;;;
2025;SPRINTS PR;Libourne;SM2x PR3-VI 50%H/F;FA;2.0;02:07.61;Rowing Club de Strasbourg;ROWING CLUB DE STRASBOURG;;;;Sebastien SCHIR;Joelle MELDER;;;;;;;
2025;UNSS COLLEGE;Léry-Poses;CF4Yx+;FA;2.0;02:07.98;Collège Pierre et Marie Curie-Gravelines;COLLEGE PIERRE ET MARIE CURIE GRAVELINES;;;;Ilia-Gaston SCHATTEMAN;Laly LAVIEVILLE;Hugo BULTEEL;Maël ADONEL;;;;;Clement DEJAEGHER
2015;SPRINTS PR;Mâcon;SM4+LTA;FA;2.0;02:07.99;Albi Av/Fontainebleau-Avon AN/Toulouse EN;AVIRON CLUB ALBIGEOIS;AVIRON DU PAYS DE FONTAINEBLEAU;EMULATION NAUTIQUE DE TOULOUSE;;Bernadette POPOV;Bernadette PICKERING;Theo PAUL;Laurent VIALA;;;;;Pierre LAURENT
2015;SPRINTS 500m;Mâcon;SF4x;FD;3.0;02:08.11;Sports Nautiques Tain-Tournon;SPORTS NAUTIQUES TAIN TOURNON;;;;Myriam BUFFAT;Cecile ROBILLARD;Celine LONGA-BREYSSE;Laurence FLUCHAIRE;;;;;
2018;SPRINTS PR;Vichy;SH1x open;FA;1.0;02:08.39;Sport Nautique de Nancy;SPORT NAUTIQUE DE NANCY;;;;Alexandre SCHAUT;;;;;;;;
2023;BRS;Thonon les Bains;SM4x+ 50%H/50%F;FB;2.0;02:08.799;Corbeil ASCE 91/Lagny SN/Beaucaire Av;ASSOCIATION SPORTIVE CORBEIL ESSONNES AVIRON;SOCIETE NAUTIQUE DE LAGNY;AVIRON BEAUCAIRE;;Manon PELLIER;Diane DELALLEAU;Aymeric FORTIER;Alexis FORTIER;;;;;Saint Nick BENOIT
2023;SPRINTS 500m;Mantes-la-Jolie;SF2-;FC;5.0;02:08.80;Entente Nautique d'Aix-les-Bains Aviron;ENTENTE NAUTIQUE D'AIX LES BAINS AVIRON;;;;Alice GAMBIEZ;Trinity BOTTOLLIER;;;;;;;
2024;SPRINTS PR;Vichy;SH1x PR3 Open;FA;2.0;02:09.34;Aviron du Bocage;AVIRON DU BOCAGE;;;;Jean-Pierre CASTELLANO;;;;;;;;
2016;SPRINTS PR;Gérardmer;SH1x LTA-ID;FA;1.0;02:09.71;Club Nautique et Athletique de Rouen;CLUB NAUTIQUE ET ATHLETIQUE DE ROUEN;;;;Timothee BAETS;;;;;;;;
2025;SPRINTS PR;Libourne;SH2x PR OPEN;FA;3.0;02:09.75;Boulogne 92;BOULOGNE 92;;;;Jean-Philippe NOCQUET;Christophe LAVIGNE;;;;;;;
2025;SPRINTS PR;Libourne;SM2x PR3-VI 50%H/F;Finale;3.0;02:09.75;Boulogne 92;BOULOGNE 92;;;;Jean-Philippe NOCQUET;Christophe LAVIGNE;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FE;1.0;02:09.82;Toulouse Universite Club;TOULOUSE UNIVERSITE CLUB;;;;Adele SIBILLE;Salome DURANTELLAITHIER;;;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SF2x;FD;6.0;02:09.84;Aviron Sainte-Livrade;AVIRON SAINTE LIVRADE;;;;Cassandra BRUGERE;Delphine SERRES;;;;;;;
2024;SPRINTS PR;Vichy;SH1x PR3 Open;FA;3.0;02:10.03;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Maxence PIGNOUX;;;;;;;;
2025;SPRINTS PR;Libourne;SH1x PR3;FA;1.0;02:10.33;Aviron Cadurcien;AVIRON CADURCIEN;;;;Jerome PAILLER;;;;;;;;
2017;SPRINTS PR;Mantes-la-Jolie;SH1x LTA-ID;FA;3.0;02:10.58;Club Nautique de Charleville-Mezieres;CLUB NAUTIQUE DE CHARLEVILLE MEZIERES;;;;Steven GERONDE;;;;;;;;
2025;UNSS COLLEGE;Léry-Poses;CF4Yx+;FA;3.0;02:10.95;Collège Pierre Brossolette-Le Perreux-sur-Marne;COLLEGE PIERRE BROSSOLETTE LE PERREUX SUR MARNE;;;;Noé MERCERON;Louise MARINIA MICHAUD;Garris GUERIN JALLET;Gabriel SIMONET;;;;;Alice ANTOINE
2015;SPRINTS PR;Mâcon;SH1x open ID;FA;2.0;02:11.11;Club Nautique Dieppois;CLUB NAUTIQUE DIEPPOIS;;;;Sullyvan GOBRON-DENIS;;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FD;5.0;02:11.11;Ass.Sportive Corbeil-Essonnes Aviron 91;ASSOCIATION SPORTIVE CORBEIL ESSONNES AVIRON;;;;Caroline HERMITTE;Amélie PELISSIER;;;;;;;
2023;SPRINTS PR;Mantes-la-Jolie;SM2x HV 50%H/50%F PR3-VI;FA;1.0;02:11.23;Societe Havraise de l'Aviron;SOCIETE HAVRAISE DE L'AVIRON;;;;Adele LAUWICK;Yann DUVAL;;;;;;;
2023;SPRINTS PR;Mantes-la-Jolie;SM4+ PR3 1H/1F;Finale;1.0;02:11.23;Societe Havraise de l'Aviron;SOCIETE HAVRAISE DE L'AVIRON;;;;Adele LAUWICK;Yann DUVAL;;;;;;;
2023;SPRINTS PR;Mantes-la-Jolie;SH1x PR3 Open;FA;1.0;02:11.35;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Maxence PIGNOUX;;;;;;;;
2019;SPRINTS PR;Gérardmer;SF1x PR3;Finale;1.0;02:11.51;Sport Nautique de Nancy;SPORT NAUTIQUE DE NANCY;;;;Alexandre Schaut;;;;;;;;
2021;PR;Mantes-la-Jolie;SM2x HV 50%H/50%F;FA;4.0;02:11.92;Aviron Saint-Cassien;AVIRON SAINT CASSIEN;;;;Guylaine MARCHAND;Sarah SVEDBERG;;;;;;;
2016;SPRINTS CRITERIUM;Gérardmer;SF2x;FD;1.0;02:12.32;Aviron Club d'Angouleme;AVIRON CLUB D'ANGOULEME;;;;Sandra FLAO;Christine CODET;;;;;;;
2021;PR;Mantes-la-Jolie;SH1x PR3-ID BC;Finale;2.0;02:12.47;Societe Nautique Soissonnaise;SOCIETE NAUTIQUE SOISSONNAISE;;;;Nicolas DAMIEN;;;;;;;;
2021;PR;Mantes-la-Jolie;SH1x PR3-ID CD;FA;2.0;02:12.47;Societe Nautique Soissonnaise;SOCIETE NAUTIQUE SOISSONNAISE;;;;Nicolas DAMIEN;;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FE;2.0;02:12.86;Association Sportive Mantaise;ASSOCIATION SPORTIVE MANTAISE;;;;Claire FAUVETTE;Charlotte BINET;;;;;;;
2024;UNSS COLLEGE;Brive-la-Gaillarde;CF4Yx+;FA;1.0;02:13.00;COL St Laurent la Paix Lagny sur Marne;COL ST LAURENT LA PAIX LAGNY SUR MARNE;;;;Mahé BOURDOT;Alice DE MARQUE;Emeric SOUVAY;Matthieu GADRE;;;;;Aubin CROMBOIS
2013;SPRINTS PR;Mantes-la-Jolie;MSHLTA2x;Finale;1.0;02:13.17;Bayonne Av/Boulogne Billancourt ACBB;AVIRON BAYONNAIS;BOULOGNE 92;;;Stephane TARDIEU;Perle BOUGE;;;;;;;
2013;SPRINTS PR;Mantes-la-Jolie;MSHLTA4+;Finale;1.0;02:13.17;Bayonne Av/Boulogne Billancourt ACBB;AVIRON BAYONNAIS;BOULOGNE 92;;;Stephane TARDIEU;Perle BOUGE;;;;;;;
2013;SPRINTS PR;Mantes-la-Jolie;MSHTA2x;FA;1.0;02:13.17;Bayonne Av/Boulogne Billancourt ACBB;AVIRON BAYONNAIS;BOULOGNE 92;;;Stephane TARDIEU;Perle BOUGE;;;;;;;
2016;SPRINTS PR;Gérardmer;SH1x LTA-ID;FA;2.0;02:13.25;Societe Havraise de l'Aviron;SOCIETE HAVRAISE DE L'AVIRON;;;;Etienne KOLLIALIS;;;;;;;;
2025;SPRINTS 500m;Libourne;SF2x;FE;3.0;02:13.52;Sport Nautique d'Abbeville;SPORT NAUTIQUE D'ABBEVILLE;;;;Cecile LEJOSNE;Laure HUET DE FROBERVILLE;;;;;;;
2019;SPRINTS PR;Gérardmer;SF1x PR3-ID;Finale;4.0;02:13.58;Aviron Club du Pays d'Erstein;AVIRON CLUB DU PAYS D'ERSTEIN;;;;Theo Heitz;;;;;;;;
2019;SPRINTS PR;Gérardmer;SH1x PR3-ID;FA;4.0;02:13.58;Aviron Club du Pays d'Erstein;AVIRON CLUB DU PAYS D'ERSTEIN;;;;Theo Heitz;;;;;;;;
2023;SPRINTS PR;Mantes-la-Jolie;SH1x PR3 Open;FA;2.0;02:13.60;Aviron du Bocage;AVIRON DU BOCAGE;;;;Jean-Pierre CASTELLANO;;;;;;;;
2019;SPRINTS PR;Gérardmer;SH4Yx/+ PR3-ID;FA;1.0;02:14.03;Cercle Nautique des Regates Remoises;CERCLE NAUTIQUE DES REGATES REMOISES;;;;Edgar Villain;Eric Prioux;Fabien Dulin;Fabrice Avrillon;;;;;Daniel Guillaume
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FD;6.0;02:14.19;Aviron Sedanais;AVIRON SEDANAIS;;;;Paoline CICE;Clotilde AVERLANT;;;;;;;
2017;SPRINTS PR;Mantes-la-Jolie;SH2x Open;FA;2.0;02:14.23;Union Sportive de Ris Orangis Aviron;UNION SPORTIVE DE RIS ORANGIS AVIRON;;;;Gauthier LECONTE;Vincent LE BIHAN;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FE;3.0;02:14.53;Toulouse Universite Club;TOULOUSE UNIVERSITE CLUB;;;;Manon BAGUET;Alix CHUDHARY;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SF1x PR3-ID CD;Finale;3.0;02:14.59;Aviron Club de Manosque;AVIRON CLUB DE MANOSQUE;;;;Illyes ERARIO;;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SH1x PR3-ID CD;FA;3.0;02:14.59;Aviron Club de Manosque;AVIRON CLUB DE MANOSQUE;;;;Illyes ERARIO;;;;;;;;
2025;SPRINTS PR;Libourne;SH1x PR3;FA;2.0;02:14.71;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Maxence PIGNOUX;;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SH2x open;Finale;2.0;02:14.75;Aviron Club Orleans-Olivet;AVIRON CLUB ORLEANS OLIVET;;;;Lucie PONTONNIER;Nicolas LACOURTEBARBADAUX;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SM2x HV 50%H/50%F PR3-VI;FA;2.0;02:14.75;Aviron Club Orleans-Olivet;AVIRON CLUB ORLEANS OLIVET;;;;Lucie PONTONNIER;Nicolas LACOURTEBARBADAUX;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SM4+ PR3 1H/1F;Finale;2.0;02:14.75;Aviron Club Orleans-Olivet;AVIRON CLUB ORLEANS OLIVET;;;;Lucie PONTONNIER;Nicolas LACOURTEBARBADAUX;;;;;;;
2024;SPRINTS PR;Vichy;SH2x PR Open;FA;1.0;02:14.85;Boulogne 92;BOULOGNE 92;;;;Christophe LAVIGNE;Laurent DUTHOIT;;;;;;;
2024;UNSS COLLEGE;Brive-la-Gaillarde;CF4Yx+;FA;2.0;02:15.20;COL Pierre Brossolette le Perreux sur Marne;COL PIERRE BROSSOLETTE LE PERREUX SUR MARNE;;;;Alexandre MASSON;Florent BROSSIER;Jade DENDOUNE;Gabriel SIMONET;;;;;Anna BACON
2014;SPRINTS PR;Gérardmer;FS1x open;Finale;1.0;02:15.27;Union Sportive de Toul Aviron;UNION SPORTIVE DE TOUL AVIRON;;;;Ugo CHATELAIN;;;;;;;;
2014;SPRINTS PR;Gérardmer;HS1x open;FA;1.0;02:15.27;Union Sportive de Toul Aviron;UNION SPORTIVE DE TOUL AVIRON;;;;Ugo CHATELAIN;;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SH1x PR3;FA;1.0;02:15.53;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Maxence PIGNOUX;;;;;;;;
2019;SPRINTS PR;Gérardmer;SF1x PR3-ID;FA;5.0;02:15.58;Saint Nazaire Olympique Sportif Aviron;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;;Oceane Naugred;;;;;;;;
2019;SPRINTS PR;Gérardmer;SH1x PR3-ID;Finale;5.0;02:15.58;Saint Nazaire Olympique Sportif Aviron;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;;Oceane Naugred;;;;;;;;
2018;SPRINTS PR;Vichy;SF1x PR3-ID;Finale;1.0;02:15.79;Sporting Dunkerquois;SPORTING DUNKERQUOIS;;;;Nathalie DUPETIT;;;;;;;;
2018;SPRINTS PR;Vichy;SF1x open;FA;1.0;02:15.79;Sporting Dunkerquois;SPORTING DUNKERQUOIS;;;;Nathalie DUPETIT;;;;;;;;
2016;SPRINTS CRITERIUM;Gérardmer;SF2x;FD;2.0;02:15.98;Aviron Club Orleans-Olivet;AVIRON CLUB ORLEANS OLIVET;;;;Cyrielle BOURGUIGNON;Adeline MAYEUX;;;;;;;
2024;SPRINTS PR;Vichy;SH2x PR Open;FA;2.0;02:16.36;Monaco SN;SOCIETE NAUTIQUE DE MONACO;;;;Julien HARDI;Franck OBERDORFF;;;;;;;
2017;SPRINTS PR;Mantes-la-Jolie;SH2x Open;FA;3.0;02:16.53;Sedan;AVIRON SEDANAIS;;;;Maxime DEWIT;Damien VAN DEN DRIESSCHE;;;;;;;
2023;SPRINTS PR;Mantes-la-Jolie;SM2x HV 50%H/50%F PR3-VI;FA;2.0;02:16.78;Rowing Club de Strasbourg;ROWING CLUB DE STRASBOURG;;;;Joelle MELDER;Sebastien SCHIR;;;;;;;
2023;SPRINTS PR;Mantes-la-Jolie;SM4+ PR3 1H/1F;Finale;2.0;02:16.78;Rowing Club de Strasbourg;ROWING CLUB DE STRASBOURG;;;;Joelle MELDER;Sebastien SCHIR;;;;;;;
2016;SPRINTS PR;Gérardmer;SH2x Open;FA;1.0;02:17.12;Boulogne 92;BOULOGNE 92;;;;Alexandre DUTHOIT;Patrice RENDU;;;;;;;
2021;PR;Mantes-la-Jolie;SH1x PR3;FA;1.0;02:17.29;Societe des Regates Rennaises;SOCIETE DES REGATES RENNAISES;;;;Gatien LE ROUSSEAU;;;;;;;;
2025;BRS;Aix-Les Bains;SM2x 50%H/F ;FA;1.0;02:17.34;St-Malo SNBSM/St-Nazaire SNOS 8;SOCIETE NAUTIQUE DE LA BAIE DE SAINT MALO;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;Charlelie RUBIO;Chloe BRIARD;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF4x;FC;6.0;02:17.37;Societe Nautique de Pont-a-Mousson;SOCIETE NAUTIQUE DE PONT A MOUSSON;;;;Lilyrose SAWICKI;Sixtine BRICLOT;Camille GERY;Eleonore VILMAIN;;;;;
2015;SPRINTS CRITERIUM;Mâcon;SF2x;FB;1.0;02:17.47;Aviron Club Montargis Gatinais;AVIRON CLUB MONTARGIS GATINAIS;;;;Marion DESPICQ;Nelly COUSIN;;;;;;;
2019;SPRINTS 500m;Gérardmer;SM4x 50%H/F;FA;6.0;02:17.97;Boulogne 92;BOULOGNE 92;;;;Aurelie Morizot;Damien Gallet;Geoffroy Grzesiak;Flore Villaret;;;;;
2021;PR;Mantes-la-Jolie;SH4Yx/+ PR3-ID BC-CD;FA;1.0;02:18.01;Societe Havraise de l'Aviron;SOCIETE HAVRAISE DE L'AVIRON;;;;Omar HAMZAOUI;Paul LAVAISSIERE;Etienne KOLLIALIS;Alexis BLOUIN;;;;;Clemence WATTECAMPS
2025;SPRINTS PR;Libourne;SH1x PR3;FA;3.0;02:18.54;Aviron du Bocage;AVIRON DU BOCAGE;;;;Jean-Pierre CASTELLANO;;;;;;;;
2015;SPRINTS PR;Mâcon;SH1x open ID;FA;3.0;02:19.23;Societe Havraise de l'Aviron;SOCIETE HAVRAISE DE L'AVIRON;;;;Etienne KOLLIALIS;;;;;;;;
2017;SPRINTS PR;Mantes-la-Jolie;SF1x LTA-ID;FA;1.0;02:19.40;Saint Nazaire Olympique Sportif Aviron;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;;Oceane NAUGRED;;;;;;;;
2017;SPRINTS PR;Mantes-la-Jolie;SF1x Open;Finale;1.0;02:19.40;Saint Nazaire Olympique Sportif Aviron;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;;Oceane NAUGRED;;;;;;;;
2016;SPRINTS PR;Gérardmer;SF1x LTA-ID;FA;1.0;02:19.77;Saint Nazaire Olympique Sportif Aviron;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;;Oceane NAUGRED;;;;;;;;
2016;SPRINTS PR;Gérardmer;SF1x Open;Finale;1.0;02:19.77;Saint Nazaire Olympique Sportif Aviron;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;;Oceane NAUGRED;;;;;;;;
2021;PR;Mantes-la-Jolie;SH1x PR3;FA;2.0;02:19.98;Club Nautique de Libourne 1876;CLUB NAUTIQUE DE LIBOURNE;;;;Pierre GAS;;;;;;;;
2017;SPRINTS PR;Mantes-la-Jolie;SH2x Open;FA;4.0;02:20.30;Boulogne 92;BOULOGNE 92;;;;Alexandre DUTHOIT;Patrice RENDU;;;;;;;
2023;SPRINTS PR;Mantes-la-Jolie;SH2x PR2 Open;FA;1.0;02:20.37;Le Mans Sarthe Aviron;LE MANS SARTHE AVIRON;;;;Hugo BARBOTIN;Matthieu SOYRIS;;;;;;;
2025;SPRINTS PR;Libourne;SH1x PR2;FA;1.0;02:20.63;Boulogne 92;BOULOGNE 92;;;;Christophe LAVIGNE;;;;;;;;
2024;SPRINTS PR;Vichy;SH1x PR2 Open;FA;1.0;02:20.78;Aviron Club Albigeois;AVIRON CLUB ALBIGEOIS;;;;Fabrice PORTES;;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SH2x open;FA;3.0;02:20.98;Boulogne 92;BOULOGNE 92;;;;Christophe LAVIGNE;Philippe RAVET;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SM2x HV 50%H/50%F PR3-VI;Finale;3.0;02:20.98;Boulogne 92;BOULOGNE 92;;;;Christophe LAVIGNE;Philippe RAVET;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SM4+ PR3 1H/1F;Finale;3.0;02:20.98;Boulogne 92;BOULOGNE 92;;;;Christophe LAVIGNE;Philippe RAVET;;;;;;;
2025;BRS;Aix-Les Bains;SM2x 50%H/F ;FA;2.0;02:21.40;Armentières CLL/Joinville AMJ 10;CLUB LEO LAGRANGE ARMENTIERES;AVIRON MARNE ET JOINVILLE;;;Mathis NOTTELET;Audrey FEUTRIE;;;;;;;
2019;SPRINTS PR;Gérardmer;SF1x PR3-ID;Finale;6.0;02:21.53;Sports Nautiques Tain-Tournon;SPORTS NAUTIQUES TAIN TOURNON;;;;Leo Clappe;;;;;;;;
